Year,Quarter,Total_Mkt_Fare,depart_city,arrival_city,airlineID,Passengers_by_Carrier,CarriersMktShare,CarrierAvgFare,Carrier_MinFareIncrement,CarrierMinPassangerShare,CarrierMaxFareIncrement,CarrierMaxPassengerShare,depart_state,arrival_state,Avg_TDOMT_COST_carrier,avg_TDOMT_GALLONS_carrier,Monthly Average Temperature_depart,Monthly Total Precepitation_depart,Monthly Average Windspeed_depart,Monthly Average Temperature_arrival,Monthly Total Precepitation_arrival,Monthly Average Windspeed_arrival,distance
2008,2,404.73,8,23,19790,15500,0.93,416.87,150,0.07,650,0.05,9,31,292668768.6666667,92093388.33333331,21.166666666666668,56.0,12.266666666666666,17.333333333333332,121.0,10.5,371.6518515665481
2005,4,91.89,91,104,19991,43580,0.26,95.8,75,0.34,125,0.3,3,4,70171504.33333333,35797541.0,19.53333333333333,1.3333333333333333,8.433333333333332,16.22,31.143333333333327,7.6175,295.4160074044978
2008,2,239.95,22,46,19977,13150,0.74,252.92,100,0.06,325,0.1,12,24,370072015.6666667,102558635.33333331,15.033333333333331,93.0,16.033333333333335,20.1,72.66666666666667,12.033333333333331,578.8924928067324
2008,2,239.95,22,46,19977,13150,0.74,252.92,100,0.06,325,0.1,12,24,370072015.6666667,102558635.33333331,14.866666666666667,93.0,15.2,20.1,72.66666666666667,12.033333333333331,578.8924928067324
2008,2,239.95,22,46,19977,13150,0.74,252.92,100,0.06,325,0.1,12,24,370072015.6666667,102558635.33333331,15.533333333333331,101.46666666666664,16.366666666666664,20.1,72.66666666666667,12.033333333333331,578.8924928067324
2014,2,329.25,22,23,19977,10550,0.34,312.37,150,0.06,500,0.12,12,31,369119215.0,125110047.0,15.633333333333333,132.0,16.6,17.866666666666667,133.33333333333334,13.1,250.2373921364613
2014,2,329.25,22,23,19977,10550,0.34,312.37,150,0.06,500,0.12,12,31,369119215.0,125110047.0,15.366666666666667,132.0,16.633333333333333,17.866666666666667,133.33333333333334,13.1,250.2373921364613
2014,2,329.25,22,23,19977,10550,0.34,312.37,150,0.06,500,0.12,12,31,369119215.0,125110047.0,16.566666666666666,170.9,16.666666666666668,17.866666666666667,133.33333333333334,13.1,250.2373921364613
2001,3,255.54,32,121,19977,10950,0.71,277.47,100,0.05,600,0.1,5,32,124690301.33333331,152198874.0,22.2,73.3,15.9,26.079166666666666,118.33333333333334,9.854166666666666,549.1711885432264
1996,1,65.29,58,113,19393,24390,0.41,58.04,75,0.99,75,0.99,21,21,34758982.333333336,58272310.333333336,3.0058823529411764,47.13725490196078,15.932352941176468,2.0952380952380953,47.11904761904763,15.714285714285715,234.18477521934503
2014,2,274.9,60,81,19805,2870,0.12,265.18,175,0.23,375,0.05,36,30,353988638.3333333,116463410.0,20.133333333333336,85.66666666666667,10.9,14.395838262841368,82.68167948338757,13.569838312136447,633.2683961638348
2002,4,237.62,21,34,19386,12510,0.52,261.0,100,0.09,525,0.05,24,19,66898904.0,87628995.33333333,12.75,124.5,7.4,4.866666666666666,60.5,15.966666666666669,510.5754706349662
2004,4,252.51,92,123,19977,6540,0.25,128.39,75,0.33,150,0.09,34,7,152858661.66666666,111152897.66666669,6.699999999999999,70.33333333333333,11.633333333333336,9.833333333333334,79.0,11.733333333333334,189.7967797466881
1996,2,69.59,61,120,19991,5200,0.21,89.35,75,0.58,150,0.05,29,3,18051574.666666668,27935585.33333333,25.366666666666664,1.0,18.066666666666663,25.8,0.0,12.9,377.11734413040443
2014,3,274.6,8,21,20355,5620,0.21,239.37,75,0.19,500,0.08,9,24,210429077.3333333,73805698.33333333,25.3,94.66666666666669,10.566666666666665,24.066666666666663,102.33333333333331,8.333333333333334,227.6138912120633
1996,2,83.44,14,80,19393,16940,0.95,81.08,100,1.0,100,1.0,1,16,38565989.333333336,61053059.333333336,22.335706914344676,123.07478500171999,10.122635018919848,23.5,116.66666666666669,11.6,301.5334926287955
1996,2,83.44,14,80,19393,16940,0.95,81.08,100,1.0,100,1.0,1,16,38565989.333333336,61053059.333333336,22.335706914344676,123.07478500171999,10.122635018919848,24.0,116.66666666666669,12.800000000000002,301.5334926287955
1996,2,83.44,14,80,19393,16940,0.95,81.08,100,1.0,100,1.0,1,16,38565989.333333336,61053059.333333336,22.335706914344676,123.07478500171999,10.122635018919848,24.0,116.66666666666669,12.800000000000002,301.5334926287955
